Day	SCJobs	SCLoad	MCJobs	MCLoad	TotLoad	AcceptedSCJ	AcceptedSCL	AcceptedMCJ	AcceptedMCL	AcceptedTL
1	17499	4010285488	5761	2887464270	6897749758	9383	18796932	3618	18789946	37586878
2	16704	121584968	6130	79733263	201318231	10922	16485822	5506	16485328	32971150
3	16438	92379907	5306	117339490	209719397	10210	18760597	4529	18761145	37521742
4	16481	92055929	5355	44564799	136620728	10202	17747339	4588	17745712	35493051
5	17136	119704358	5224	82477630	202181988	10717	13699835	4171	13699447	27399282
6	15968	28469838	4892	19179917	47649755	8028	10710806	3004	10708256	21419062
7	13744	23047745	3812	16337008	39384753	7566	10471893	2822	10451453	20923346
8	16519	42214039	5255	18443470	60657509	10348	14516898	4266	14517120	29034018
9	16873	115047884	5562	108620915	223668799	10861	22184128	4752	22184131	44368259
10	17759	300888185	6140	300471989	601360174	11710	18824378	5227	18824623	37649001
11	18157	98945372	6511	51491319	150436691	12291	17657245	5844	17657821	35315066
12	17257	47629043	5686	47111978	94741021	10801	16362216	4701	16362388	32724604
13	14679	32375246	4243	30061714	62436960	7535	9381434	2776	9380277	18761711
14	12296	15545057	3080	8950491	24495548	6567	9949640	2366	9948461	19898101
15	15042	72011834	4540	52288114	124299948	9219	13338850	3729	13337535	26676385
16	18511	81664492	6325	41030992	122695484	10969	17097846	4701	17091395	34189241
17	17815	78273520	5741	30168349	108441869	11401	17630785	4948	17472969	35103754
18	28470	50847037	15485	42096111	92943148	19041	18208627	10439	18206226	36414853
19	19241	73008374	6443	34494838	107503212	12113	15574700	5291	15570552	31145252
20	16833	18973009	4780	20097370	39070379	9008	11810421	3419	11809566	23619987
21	14729	14704315	3659	6900009	21604324	8057	11624823	2965	11624666	23249489
22	16485	58392095	4600	53333923	111726018	9703	15192666	3856	15192557	30385223
23	17918	81837317	6607	40589752	122427069	11515	16101450	5698	16096914	32198364
24	18149	50493588	6576	53263190	103756778	11678	16729110	5860	16720345	33449455
25	15581	53789564	4739	34003097	87792661	9303	15527314	4063	15527025	31054339
26	19154	41662507	7145	29938169	71600676	11488	14345071	5691	14347613	28692684
27	15845	19039148	5627	12568281	31607429	8372	10631305	4240	10630784	21262089
28	15092	13755390	5820	8203710	21959100	8707	11376378	4881	11368727	22745105
29	13831	9561253	3426	4780484	14341737	6797	9333594	2923	9333703	18667297
